jornada, local, visita
23,,
,UC,SL
,AI,IQ
,AN,UdC
,U,LC
,CC,UE
,CR,EV
,TM,OH
,PA,HH
24,,
,UC,CC
,CR,PA
,EV,AN
,UdC,UE
,SL,U
,IQ,HH
,LC,TM
,OH,AI
25,,
,AI,LC
,PA,U
,IQ,SL
,TM,CR
,HH,OH
,AN,UC
,UE,EV
,CC,UdC
26,,
,UE,CR
,SL,AN
,UC,UdC
,LC,HH
,OH,CC
,TM,AI
,U,IQ
,EV,PA
27,,
,LC,EV
,OH,PA
,IQ,TM
,HH,UC
,AI,CC
,UdC,SL
,AN,UE
,CR,U
28,,
,CC,AN
,UdC,U
,EV,AI
,SL,HH
,UE,TM
,PA,IQ
,CR,LC
,UC,OH
29,,
,PA,UE
,U,EV
,LC,SL
,OH,UdC
,HH,CC
,AI,CR
,TM,UC
,IQ,AN
30,,
,CR,OH
,TM,HH
,UdC,IQ
,AN,AI
,U,UC
,CC,PA
,UE,LC
,SL,EV
